iter	Passed	Remaining
812	3490	802
813	3493	798
814	3497	793
815	3501	789
816	3504	784
817	3508	780
818	3512	776
819	3517	772
820	3521	767
821	3526	763
822	3530	759
823	3535	755
824	3540	750
825	3545	746
826	3549	742
827	3553	738
828	3557	733
829	3560	729
830	3564	724
831	3568	720
832	3571	716
833	3575	711
834	3578	707
835	3583	702
836	3587	698
837	3590	694
838	3594	689
839	3598	685
840	3602	681
841	3606	676
842	3610	672
843	3614	668
844	3617	663
845	3622	659
846	3625	654
847	3629	650
848	3633	646
849	3636	641
850	3641	637
851	3647	633
852	3651	629
853	3656	625
854	3662	621
855	3667	616
856	3672	612
857	3676	608
858	3680	604
859	3684	599
860	3688	595
861	3692	591
862	3695	586
863	3699	582
864	3703	578
865	3707	573
866	3711	569
867	3714	564
868	3719	560
869	3723	556
870	3726	551
871	3730	547
872	3734	543
873	3738	538
874	3741	534
875	3745	530
876	3749	525
877	3753	521
878	3757	517
879	3760	512
880	3764	508
881	3768	504
882	3772	499
883	3776	495
884	3780	491
885	3785	487
886	3789	482
887	3793	478
888	3797	474
889	3800	469
890	3805	465
891	3809	461
892	3814	457
893	3817	452
894	3821	448
895	3825	444
896	3828	439
897	3832	435
898	3836	431
899	3840	426
900	3844	422
901	3847	418
902	3851	413
903	3855	409
904	3859	405
905	3863	400
906	3866	396
907	3870	392
908	3874	387
909	3877	383
910	3882	379
911	3886	375
912	3890	370
913	3894	366
914	3897	362
915	3901	357
916	3905	353
917	3909	349
918	3913	344
919	3916	340
920	3920	336
921	3924	331
922	3928	327
923	3931	323
924	3934	319
925	3939	314
926	3942	310
927	3947	306
928	3951	301
929	3954	297
930	3958	293
931	3963	289
932	3966	284
933	3971	280
934	3974	276
935	3979	272
936	3982	267
937	3986	263
938	3990	259
939	3994	254
940	3997	250
941	4001	246
942	4006	242
943	4010	237
944	4013	233
945	4017	229
946	4021	225
947	4025	220
948	4029	216
949	4033	212
950	4037	208
951	4040	203
952	4044	199
953	4049	195
954	4055	191
955	4060	186
956	4066	182
957	4072	178
958	4075	174
959	4079	169
960	4083	165
961	4087	161
962	4091	157
963	4095	152
964	4098	148
965	4103	144
966	4107	140
967	4111	135
968	4114	131
969	4118	127
970	4122	123
971	4126	118
972	4130	114
973	4133	110
974	4137	106
975	4141	101
976	4145	97
977	4149	93
978	4153	89
979	4158	84
980	4161	80
981	4165	76
982	4170	72
983	4173	67
984	4178	63
985	4181	59
986	4185	55
987	4189	50
988	4192	46
989	4196	42
990	4200	38
991	4203	33
992	4207	29
993	4211	25
994	4216	21
995	4220	16
996	4223	12
997	4227	8
998	4231	4
999	4235	0
